CDPHId,ProductName,CSFId,CSF,CompanyId,CompanyName,BrandName,PrimaryCategoryId,PrimaryCategory,SubCategoryId,SubCategory,CasId,CasNumber,ChemicalId,ChemicalName,
141,Shelter Untinted,,,841,Philosophy,Philosophy,106,Sun-Related Products,107,Sunscreen (making a cosmetic claim) ,773,79-81-2,151,"Retinol/retinyl esters, when in daily dosages in excess of 10,000 IU, or 3,000 retinol equivalents.",
141,Shelter Untinted,,,841,Philosophy,Philosophy,106,Sun-Related Products,107,Sunscreen (making a cosmetic claim) ,656,13463-67-7,152,Titanium dioxide,
142,On A Clear Day Retinol Clarifying Lotion,,,841,Philosophy,Philosophy,90,Skin Care Products ,91,Acne Products (making a cosmetic claim),958,68-26-8,153,Retinol,
143,The Microdelivery Peel Crystals,,,841,Philosophy,Philosophy,90,Skin Care Products ,95,Facial Masks,773,79-81-2,154,"Retinol/retinyl esters, when in daily dosages in excess of 10,000 IU, or 3,000 retinol equivalents.",
152,Kiss Me Tonight,,,841,Philosophy,Philosophy,44,Makeup Products (non-permanent),51,Lip Balm (making a cosmetic claim),773,79-81-2,163,"Retinol/retinyl esters, when in daily dosages in excess of 10,000 IU, or 3,000 retinol equivalents.",
153,Hope In A Jar for Dry/Sensitive Skin Types,,,841,Philosophy,Philosophy,90,Skin Care Products ,102,Skin Moisturizers (making a cosmetic claim),773,79-81-2,164,"Retinol/retinyl esters, when in daily dosages in excess of 10,000 IU, or 3,000 retinol equivalents.",
154,Hope In A Jar For All Skin Types,,,841,Philosophy,Philosophy,90,Skin Care Products ,102,Skin Moisturizers (making a cosmetic claim),773,79-81-2,165,"Retinol/retinyl esters, when in daily dosages in excess of 10,000 IU, or 3,000 retinol equivalents.",
155,Booster Caps,,,841,Philosophy,Philosophy,90,Skin Care Products ,92,Anti-Wrinkle/Anti-Aging Products (making a cosmetic claim),957,11103-57-4,166,Vitamin A,
156,A&C synergy serum,,,55,"Physician's Care Alliance, LLC",PCA Skin,90,Skin Care Products ,99,Skin Astringent (making a cosmetic claim),958,68-26-8,2080,Retinol,
156,A&C synergy serum,,,55,"Physician's Care Alliance, LLC",PCA Skin,90,Skin Care Products ,99,Skin Astringent (making a cosmetic claim),893,79-81-2,28022,Vitamin A palmitate,
156,A&C synergy serum,,,55,"Physician's Care Alliance, LLC",PCA Skin,90,Skin Care Products ,99,Skin Astringent (making a cosmetic claim),92,25013-16-5,52508,Butylated hydroxyanisole,
156,A&C synergy serum,,,55,"Physician's Care Alliance, LLC",PCA Skin,90,Skin Care Products ,100,Skin Bleaching (making a cosmetic claim) ,958,68-26-8,2080,Retinol,
156,A&C synergy serum,,,55,"Physician's Care Alliance, LLC",PCA Skin,90,Skin Care Products ,100,Skin Bleaching (making a cosmetic claim) ,893,79-81-2,28022,Vitamin A palmitate,
156,A&C synergy serum,,,55,"Physician's Care Alliance, LLC",PCA Skin,90,Skin Care Products ,100,Skin Bleaching (making a cosmetic claim) ,92,25013-16-5,52508,Butylated hydroxyanisole,
157,When Hope Is Not Enough Replenishing Cream,,,841,Philosophy,Philosophy,90,Skin Care Products ,102,Skin Moisturizers (making a cosmetic claim),773,79-81-2,167,"Retinol/retinyl esters, when in daily dosages in excess of 10,000 IU, or 3,000 retinol equivalents.",
158,"When Hope Is Not Enough 3, 6, 9 Body Lotion",,,841,Philosophy,Philosophy,90,Skin Care Products ,102,Skin Moisturizers (making a cosmetic claim),773,79-81-2,168,"Retinol/retinyl esters, when in daily dosages in excess of 10,000 IU, or 3,000 retinol equivalents.",
159,The Supernatural Poreless Flawless Tinted SPF 15,,,841,Philosophy,Philosophy,106,Sun-Related Products,107,Sunscreen (making a cosmetic claim) ,656,13463-67-7,169,Titanium dioxide,
159,The Supernatural Poreless Flawless Tinted SPF 15,,,841,Philosophy,Philosophy,106,Sun-Related Products,107,Sunscreen (making a cosmetic claim) ,773,79-81-2,170,"Retinol/retinyl esters, when in daily dosages in excess of 10,000 IU, or 3,000 retinol equivalents.",
181,Colorstay Active Light Makeup- Toast,,,23,Revlon Consumer Product Corporation,Revlon,44,Makeup Products (non-permanent),50,Foundations and Bases,656,13463-67-7,192,Titanium dioxide,
182,Booster Serum,,,841,Philosophy,Philosophy,90,Skin Care Products ,102,Skin Moisturizers (making a cosmetic claim),773,79-81-2,194,"Retinol/retinyl esters, when in daily dosages in excess of 10,000 IU, or 3,000 retinol equivalents.",
222,ANEW EYELIFTING SERUM SHADOW-ALL SHADES ,,,4,New Avon LLC,ANEW,44,Makeup Products (non-permanent),48,Eye Shadow,656,13463-67-7,235,Titanium dioxide,
222,ANEW EYELIFTING SERUM SHADOW-ALL SHADES ,,,4,New Avon LLC,ANEW,44,Makeup Products (non-permanent),48,Eye Shadow,890,84650-00-0,236,Coffea arabica extract,
223,Colorstay Overtime Lipcolor- Boundless Brandy,,,23,Revlon Consumer Product Corporation,Revlon,44,Makeup Products (non-permanent),52,Lip Gloss/Shine,656,13463-67-7,233,Titanium dioxide,
224,Colorstay Overtime Lipcolor- Relentless Raisin,,,23,Revlon Consumer Product Corporation,Revlon,44,Makeup Products (non-permanent),52,Lip Gloss/Shine,656,13463-67-7,234,Titanium dioxide,
269,Elizabeth Arden Green Tea Relaxing Bubble Bath,,,69,"Elizabeth Arden, Inc.",Elizabeth Arden,6,Bath Products,9,Bubble and Foam Bath Products,773,,1875,"Retinol/retinyl esters, when in daily dosages in excess of 10,000 IU, or 3,000 retinol equivalents.",
269,Elizabeth Arden Green Tea Relaxing Bubble Bath,,,69,"Elizabeth Arden, Inc.",Elizabeth Arden,6,Bath Products,9,Bubble and Foam Bath Products,773,,1876,"Retinol/retinyl esters, when in daily dosages in excess of 10,000 IU, or 3,000 retinol equivalents.",
269,Elizabeth Arden Green Tea Relaxing Bubble Bath,,,69,"Elizabeth Arden, Inc.",Elizabeth Arden,6,Bath Products,9,Bubble and Foam Bath Products,656,13463-67-7,5996,Titanium dioxide,
333,Gentle Cleanser,,,71,"Sunrider Manufacturing, L.P.",Kandesn,6,Bath Products,159,Body Washes and Soaps,162,68603-42-9,350,Cocamide diethanolamine,
334,Cleansing Foam,,,71,"Sunrider Manufacturing, L.P.",Kandesn,90,Skin Care Products ,93,Skin Cleansers,162,68603-42-9,351,Cocamide diethanolamine,
334,Cleansing Foam,,,71,"Sunrider Manufacturing, L.P.",Kandesn,90,Skin Care Products ,93,Skin Cleansers,162,68603-42-9,412,Cocamide diethanolamine,
334,Cleansing Foam,,,71,"Sunrider Manufacturing, L.P.",Kandesn,90,Skin Care Products ,93,Skin Cleansers,773,,453,"Retinol/retinyl esters, when in daily dosages in excess of 10,000 IU, or 3,000 retinol equivalents.",
335,Firming & Moisturizing Body Scrub,,,71,"Sunrider Manufacturing, L.P.",Oi-Lin,6,Bath Products,166,Scrubs and Exfoliants,964,120-40-1,352,Lauramide diethanolamine,
336,Revlon Age Defying Spa Concealer- Light,,,23,Revlon Consumer Product Corporation,Revlon,44,Makeup Products (non-permanent),50,Foundations and Bases,656,13463-67-7,353,Titanium dioxide,
337,Revlon Age Defying Spa Concealer- Light Medium,,,23,Revlon Consumer Product Corporation,Revlon,44,Makeup Products (non-permanent),50,Foundations and Bases,656,13463-67-7,354,Titanium dioxide,
338,Shampoo,,,71,"Sunrider Manufacturing, L.P.",Kandesn,18,Hair Care Products (non-coloring),25,Hair Shampoos (making a cosmetic claim) ,162,68603-42-9,358,Cocamide diethanolamine,
339,Revlon Age Defying Spa Concealer- Medium,,,23,Revlon Consumer Product Corporation,Revlon,44,Makeup Products (non-permanent),50,Foundations and Bases,656,13463-67-7,355,Titanium dioxide,
340,Revlon Age Defying Spa Concealer- Medium Deep,,,23,Revlon Consumer Product Corporation,Revlon,44,Makeup Products (non-permanent),50,Foundations and Bases,656,13463-67-7,356,Titanium dioxide,
341,Age Defying Spa Foundation- Fair,,,23,Revlon Consumer Product Corporation,Revlon,44,Makeup Products (non-permanent),50,Foundations and Bases,656,13463-67-7,357,Titanium dioxide,
342,Age Defying Spa Foundation- Fair/Light,,,23,Revlon Consumer Product Corporation,Revlon,44,Makeup Products (non-permanent),50,Foundations and Bases,656,13463-67-7,359,Titanium dioxide,
343,Age Defying Spa Foundation- Light,,,23,Revlon Consumer Product Corporation,Revlon,44,Makeup Products (non-permanent),50,Foundations and Bases,656,13463-67-7,360,Titanium dioxide,
344,Age Defying Spa Foundation- Light Medium,,,23,Revlon Consumer Product Corporation,Revlon,44,Makeup Products (non-permanent),50,Foundations and Bases,656,13463-67-7,361,Titanium dioxide,
345,Age Defying Spa Foundation- Light Medium/Medium,,,23,Revlon Consumer Product Corporation,Revlon,44,Makeup Products (non-permanent),50,Foundations and Bases,656,13463-67-7,362,Titanium dioxide,
346,Age Defying Spa Foundation- Medium,,,23,Revlon Consumer Product Corporation,Revlon,44,Makeup Products (non-permanent),50,Foundations and Bases,656,13463-67-7,363,Titanium dioxide,
347,Age Defying Spa Foundation- Medium Deep,,,23,Revlon Consumer Product Corporation,Revlon,44,Makeup Products (non-permanent),50,Foundations and Bases,656,13463-67-7,364,Titanium dioxide,
348,Age Defying Spa Foundation- Deep,,,23,Revlon Consumer Product Corporation,Revlon,44,Makeup Products (non-permanent),50,Foundations and Bases,656,13463-67-7,365,Titanium dioxide,
349,Body Lotion SPF-25,1559,Tinted,71,"Sunrider Manufacturing, L.P.",Oi-Lin,90,Skin Care Products ,102,Skin Moisturizers (making a cosmetic claim),732,,370,Coffee,
349,Body Lotion SPF-25,1559,Tinted,71,"Sunrider Manufacturing, L.P.",Oi-Lin,90,Skin Care Products ,102,Skin Moisturizers (making a cosmetic claim),656,13463-67-7,377,Titanium dioxide,
349,Body Lotion SPF-25,1559,Tinted,71,"Sunrider Manufacturing, L.P.",Oi-Lin,90,Skin Care Products ,102,Skin Moisturizers (making a cosmetic claim),776,,378,"Silica, crystalline (airborne particles of respirable size)",
349,Body Lotion SPF-25,1559,Tinted,71,"Sunrider Manufacturing, L.P.",Oi-Lin,90,Skin Care Products ,102,Skin Moisturizers (making a cosmetic claim),773,,443,"Retinol/retinyl esters, when in daily dosages in excess of 10,000 IU, or 3,000 retinol equivalents.",
349,Body Lotion SPF-25,1559,Tinted,71,"Sunrider Manufacturing, L.P.",Oi-Lin,90,Skin Care Products ,102,Skin Moisturizers (making a cosmetic claim),773,,2324,"Retinol/retinyl esters, when in daily dosages in excess of 10,000 IU, or 3,000 retinol equivalents.",
349,Body Lotion SPF-25,1559,Tinted,71,"Sunrider Manufacturing, L.P.",Oi-Lin,106,Sun-Related Products,107,Sunscreen (making a cosmetic claim) ,732,,370,Coffee,
349,Body Lotion SPF-25,1559,Tinted,71,"Sunrider Manufacturing, L.P.",Oi-Lin,106,Sun-Related Products,107,Sunscreen (making a cosmetic claim) ,656,13463-67-7,377,Titanium dioxide,
349,Body Lotion SPF-25,1559,Tinted,71,"Sunrider Manufacturing, L.P.",Oi-Lin,106,Sun-Related Products,107,Sunscreen (making a cosmetic claim) ,776,,378,"Silica, crystalline (airborne particles of respirable size)",
349,Body Lotion SPF-25,1559,Tinted,71,"Sunrider Manufacturing, L.P.",Oi-Lin,106,Sun-Related Products,107,Sunscreen (making a cosmetic claim) ,773,,443,"Retinol/retinyl esters, when in daily dosages in excess of 10,000 IU, or 3,000 retinol equivalents.",
349,Body Lotion SPF-25,1559,Tinted,71,"Sunrider Manufacturing, L.P.",Oi-Lin,106,Sun-Related Products,107,Sunscreen (making a cosmetic claim) ,773,,2324,"Retinol/retinyl esters, when in daily dosages in excess of 10,000 IU, or 3,000 retinol equivalents.",
350,New Complexion One-Step Compact Makeup- Ivory Beige,,,23,Revlon Consumer Product Corporation,Revlon,44,Makeup Products (non-permanent),50,Foundations and Bases,656,13463-67-7,366,Titanium dioxide,
351,New Complexion One-Step Compact Makeup- Tender Peach,,,23,Revlon Consumer Product Corporation,Revlon,44,Makeup Products (non-permanent),50,Foundations and Bases,656,13463-67-7,367,Titanium dioxide,
352,New Complexion One-Step Compact Makeup- Sand Beige,,,23,Revlon Consumer Product Corporation,Revlon,44,Makeup Products (non-permanent),50,Foundations and Bases,656,13463-67-7,368,Titanium dioxide,
353,New Complexion One-Step Compact Makeup- Natural Beige,,,23,Revlon Consumer Product Corporation,Revlon,44,Makeup Products (non-permanent),50,Foundations and Bases,656,13463-67-7,369,Titanium dioxide,
354,New Complexion One-Step Compact Makeup- Medium Beige,,,23,Revlon Consumer Product Corporation,Revlon,44,Makeup Products (non-permanent),50,Foundations and Bases,656,13463-67-7,371,Titanium dioxide,
355,New Complexion One-Step Compact Makeup- Honey Beige,,,23,Revlon Consumer Product Corporation,Revlon,44,Makeup Products (non-permanent),50,Foundations and Bases,656,13463-67-7,372,Titanium dioxide,
356,New Complexion One-Step Compact Makeup- Warm Beige,,,23,Revlon Consumer Product Corporation,Revlon,44,Makeup Products (non-permanent),50,Foundations and Bases,656,13463-67-7,373,Titanium dioxide,
357,New Complexion One-Step Compact Makeup- Toast,,,23,Revlon Consumer Product Corporation,Revlon,44,Makeup Products (non-permanent),50,Foundations and Bases,656,13463-67-7,374,Titanium dioxide,
358,New Complexion One-Step Compact Makeup- Natural Tan,,,23,Revlon Consumer Product Corporation,Revlon,44,Makeup Products (non-permanent),50,Foundations and Bases,656,13463-67-7,375,Titanium dioxide,
359,New Complexion One-Step Compact Makeup- Rich Tan,,,23,Revlon Consumer Product Corporation,Revlon,44,Makeup Products (non-permanent),50,Foundations and Bases,656,13463-67-7,376,Titanium dioxide,
359,New Complexion One-Step Compact Makeup- Rich Tan,,,23,Revlon Consumer Product Corporation,Revlon,44,Makeup Products (non-permanent),50,Foundations and Bases,656,13463-67-7,823,Titanium dioxide,
360,New Complexion One-Step Compact Makeup- Caramel,,,23,Revlon Consumer Product Corporation,Revlon,44,Makeup Products (non-permanent),50,Foundations and Bases,656,13463-67-7,379,Titanium dioxide,
361,New Complexion One-Step Compact Makeup- Cool Beige,,,23,Revlon Consumer Product Corporation,Revlon,44,Makeup Products (non-permanent),50,Foundations and Bases,656,13463-67-7,380,Titanium dioxide,
362,Cleansing Cream,,,71,"Sunrider Manufacturing, L.P.",Kandesn,90,Skin Care Products ,93,Skin Cleansers,162,68603-42-9,381,Cocamide diethanolamine,
362,Cleansing Cream,,,71,"Sunrider Manufacturing, L.P.",Kandesn,90,Skin Care Products ,93,Skin Cleansers,773,,458,"Retinol/retinyl esters, when in daily dosages in excess of 10,000 IU, or 3,000 retinol equivalents.",
362,Cleansing Cream,,,71,"Sunrider Manufacturing, L.P.",Kandesn,90,Skin Care Products ,93,Skin Cleansers,773,,2317,"Retinol/retinyl esters, when in daily dosages in excess of 10,000 IU, or 3,000 retinol equivalents.",
363,Dandruff Shampoo,,,71,"Sunrider Manufacturing, L.P.",Kandesn,18,Hair Care Products (non-coloring),25,Hair Shampoos (making a cosmetic claim) ,162,68603-42-9,382,Cocamide diethanolamine,
363,Dandruff Shampoo,,,71,"Sunrider Manufacturing, L.P.",Kandesn,18,Hair Care Products (non-coloring),25,Hair Shampoos (making a cosmetic claim) ,964,120-40-1,429,Lauramide diethanolamine,
364,Deep Moisture Lotion SPF-25,,,71,"Sunrider Manufacturing, L.P.",Oi-Lin,106,Sun-Related Products,107,Sunscreen (making a cosmetic claim) ,732,,383,Coffee,
364,Deep Moisture Lotion SPF-25,,,71,"Sunrider Manufacturing, L.P.",Oi-Lin,106,Sun-Related Products,107,Sunscreen (making a cosmetic claim) ,656,13463-67-7,436,Titanium dioxide,
364,Deep Moisture Lotion SPF-25,,,71,"Sunrider Manufacturing, L.P.",Oi-Lin,106,Sun-Related Products,107,Sunscreen (making a cosmetic claim) ,776,,1077,"Silica, crystalline (airborne particles of respirable size)",
365,Deep Moisture Lotion Tinted SPF-25,,,71,"Sunrider Manufacturing, L.P.",Oi-Lin,106,Sun-Related Products,107,Sunscreen (making a cosmetic claim) ,732,,384,Coffee,
365,Deep Moisture Lotion Tinted SPF-25,,,71,"Sunrider Manufacturing, L.P.",Oi-Lin,106,Sun-Related Products,107,Sunscreen (making a cosmetic claim) ,656,13463-67-7,448,Titanium dioxide,
365,Deep Moisture Lotion Tinted SPF-25,,,71,"Sunrider Manufacturing, L.P.",Oi-Lin,106,Sun-Related Products,107,Sunscreen (making a cosmetic claim) ,776,,1074,"Silica, crystalline (airborne particles of respirable size)",
366,Romane 2 Cruel Sugar Body Polish,,,72,Romane Fragrances,2 Cruel,90,Skin Care Products ,102,Skin Moisturizers (making a cosmetic claim),656,,385,Titanium dioxide,
434,Hand & Body Lotion,,,71,"Sunrider Manufacturing, L.P.",Kandesn,90,Skin Care Products ,102,Skin Moisturizers (making a cosmetic claim),773,,463,"Retinol/retinyl esters, when in daily dosages in excess of 10,000 IU, or 3,000 retinol equivalents.",
435,Illuminance Creme Shadow- Khaki Suede- khakistone 12,,,23,Revlon Consumer Product Corporation,Revlon,44,Makeup Products (non-permanent),48,Eye Shadow,656,13463-67-7,462,Titanium dioxide,
436,Cleansing Cream,,,71,"Sunrider Manufacturing, L.P.",Oi-Lin,90,Skin Care Products ,93,Skin Cleansers,773,,464,"Retinol/retinyl esters, when in daily dosages in excess of 10,000 IU, or 3,000 retinol equivalents.",
436,Cleansing Cream,,,71,"Sunrider Manufacturing, L.P.",Oi-Lin,90,Skin Care Products ,93,Skin Cleansers,773,,2323,"Retinol/retinyl esters, when in daily dosages in excess of 10,000 IU, or 3,000 retinol equivalents.",
437,Rebuild Cream,,,71,"Sunrider Manufacturing, L.P.",Oi-Lin,90,Skin Care Products ,102,Skin Moisturizers (making a cosmetic claim),773,,466,"Retinol/retinyl esters, when in daily dosages in excess of 10,000 IU, or 3,000 retinol equivalents.",
438,Balancing Splash,,,71,"Sunrider Manufacturing, L.P.",Kandesn,90,Skin Care Products ,103,Skin Toner (making a cosmetic claim),773,,467,"Retinol/retinyl esters, when in daily dosages in excess of 10,000 IU, or 3,000 retinol equivalents.",
439,Deep Moisture Lotion,,,71,"Sunrider Manufacturing, L.P.",Kandesn,90,Skin Care Products ,102,Skin Moisturizers (making a cosmetic claim),773,,468,"Retinol/retinyl esters, when in daily dosages in excess of 10,000 IU, or 3,000 retinol equivalents.",
439,Deep Moisture Lotion,,,71,"Sunrider Manufacturing, L.P.",Kandesn,90,Skin Care Products ,102,Skin Moisturizers (making a cosmetic claim),773,,2319,"Retinol/retinyl esters, when in daily dosages in excess of 10,000 IU, or 3,000 retinol equivalents.",
479,Renewist Lipcolor- Full Blush,,,23,Revlon Consumer Product Corporation,Revlon,44,Makeup Products (non-permanent),53,"Lip Color - Lipsticks, Liners, and Pencils",656,13463-67-7,508,Titanium dioxide,
480,Mei-Cha Micro-Colors,118,Beige 1, BE-01,76,LI Pigments,Micro-Colors,111,Tattoos and Permanent Makeup,157,Tattoos and Permanent Makeup,656,13463-67-7,517,1
481,LiPigments Aqua Pigments,180,Midnight Black,76,LI Pigments,Aqua,111,Tattoos and Permanent Makeup,157,Tattoos and Permanent Makeup,104,1333-86-4,510,"Carbon black (airborne, unbound particles of respirable size)",
481,LiPigments Aqua Pigments,181,Mocha,76,LI Pigments,Aqua,111,Tattoos and Permanent Makeup,157,Tattoos and Permanent Makeup,656,13463-67-7,509,Titanium dioxide,
481,LiPigments Aqua Pigments,214,Ultra Black,76,LI Pigments,Aqua,111,Tattoos and Permanent Makeup,157,Tattoos and Permanent Makeup,656,13463-67-7,509,Titanium dioxide,
481,LiPigments Aqua Pigments,214,Ultra Black,76,LI Pigments,Aqua,111,Tattoos and Permanent Makeup,157,Tattoos and Permanent Makeup,104,1333-86-4,511,"Carbon black (airborne, unbound particles of respirable size)",
482,Mei-Cha Elegance Pigments,223,Turquoise / Turquesa Ref, BA-TUQ,76,LI Pigments,Elegance Pigments,111,Tattoos and Permanent Makeup,157,Tattoos and Permanent Makeup,656,13463-67-7,512,1
482,Mei-Cha Elegance Pigments,236,Black / Negro Ref: BA-BLK,76,LI Pigments,Elegance Pigments,111,Tattoos and Permanent Makeup,157,Tattoos and Permanent Makeup,104,1333-86-4,513,"Carbon black (airborne, unbound particles of respirable size)",
482,Mei-Cha Elegance Pigments,237,White / Blanco Ref: BA-WHT,76,LI Pigments,Elegance Pigments,111,Tattoos and Permanent Makeup,157,Tattoos and Permanent Makeup,656,13463-67-7,512,Titanium dioxide,
484,Sun Beauty Pigments,489,Cherry, Double Max 21504,76,LI Pigments,Double Max,111,Tattoos and Permanent Makeup,157,Tattoos and Permanent Makeup,656,13463-67-7,515,1
